math,language,earn,ethblack,ethhisp,ethwhite,hgc,hgcp,id,l14coun,l14farm,l14town,lgearn,male,pov78,siblings
119,107,13.46000082,0,0,1,17,24,12023,0,0,1,2.599722385,1,0,1
108,116,16.24999907,0,0,1,13,28,4687,1,0,0,2.788092852,1,0,1
88,101,3.870000192,0,0,1,12,32,5252,0,0,1,1.353254557,1,0,3
119,99,23.070001,0,0,1,16,35,5334,0,1,0,3.138533115,1,0,2
121,117,16.78000178,0,0,1,14,24,464,0,0,1,2.820187807,1,0,3
60,57,7.349999996,0,0,1,12,21,3622,0,0,1,1.994700313,1,0,1
107,116,16.26999889,0,0,1,16,30,445,1,0,0,2.789322853,1,0,1
95,76,6.04999984,0,0,1,12,26,1557,0,0,1,1.800058246,1,0,3
112,123,75.000006,0,0,1,18,16,4816,0,1,0,4.317488194,1,0,6
76,91,9.13000035,1,0,0,12,24,336,0,0,1,2.211565733,1,0,0
63,62,18.44999934,0,1,0,13,24,5203,0,0,1,2.915064335,1,0,3
80,104,8.000000046,0,0,1,12,24,1248,1,0,0,2.079441547,1,0,1
78,81,10.39999886,0,0,1,12,24,451,0,1,0,2.341805696,1,0,4
123,116,19.22999776,0,0,1,16,24,5226,0,0,1,2.956471443,1,0,3
104,115,6.00000013,0,0,1,12,24,4680,0,0,1,1.791759491,1,0,1
115,97,14.44000128,0,0,1,12,26,4945,0,0,1,2.670002222,1,0,5
75,57,4.249999921,1,0,0,12,24,5617,0,0,1,1.446918964,1,0,4
108,106,14.8999995,0,0,1,16,26,4895,0,0,1,2.701361179,1,0,2
103,117,21.09999944,0,0,1,12,23,791,0,0,1,3.049273014,1,0,2
107,114,5.00000015,0,0,1,12,24,2576,0,1,0,1.609437943,1,#?/?,5
98,71,17.34999808,0,1,0,11,8,3264,0,0,1,2.853592396,1,0,5
63,66,15.38000039,0,0,1,15,27,2593,0,0,1,2.733067989,1,1,1
89,100,21.02999887,0,0,1,12,24,951,1,0,0,3.045949936,1,0,3
115,109,23.65000244,0,0,1,17,30,4607,0,0,1,3.163363218,1,1,3
120,117,14.47000167,0,0,1,18,28,11998,0,0,1,2.672077656,1,0,1
98,113,16.82000001,0,0,1,12,16,434,0,0,1,2.822568655,1,0,4
103,111,9.499999556,0,0,1,12,17,12039,1,0,0,2.251291752,1,1,1
100,105,9.580000542,0,0,1,14,32,4813,0,0,1,2.259677649,1,0,1
86,77,10.00000032,0,0,1,12,22,484,0,0,1,2.302585125,1,0,4
105,101,10.85999982,0,0,1,12,26,747,0,0,1,2.385086298,1,0,1
126,123,16.82000001,0,0,1,16,24,6,0,0,1,2.822568655,1,0,1
114,101,5.00000015,0,0,1,12,26,1796,0,0,1,1.609437943,1,0,3
81,81,11.15999906,0,0,1,13,15,1992,0,0,1,2.412335873,1,0,4
124,112,15.38000039,0,0,1,13,28,4307,0,0,1,2.733067989,1,0,1
85,50,6.989999875,0,0,1,12,20,2561,0,0,1,1.944480538,1,0,3
103,97,13.10000073,0,0,1,12,24,4755,1,0,0,2.572612286,1,0,3
106,110,13.62000086,0,0,1,15,25,1039,0,0,1,2.611539364,0,0,3
81,78,10.57000031,0,0,1,11,18,1725,0,0,1,2.358019829,0,0,4
109,107,9.61000045,0,0,1,13,21,1494,0,0,1,2.26280427,0,0,3
105,104,6.339999991,0,0,1,12,21,2810,1,0,0,1.846878767,0,0,3
101,117,7.049999924,0,0,1,17,24,4232,0,0,1,1.953027606,0,0,7
77,105,6.750000376,0,0,1,12,28,12120,0,0,1,1.909542561,0,#?/?,1
113,105,8.870000785,1,0,0,16,15,1195,1,0,0,2.182674885,0,0,1
85,82,17.85000067,0,0,1,12,24,38,0,0,1,2.882003546,0,0,4
118,113,14.00000096,0,0,1,12,24,4097,1,0,0,2.639057398,0,0,2
101,88,8.390000874,0,0,1,14,17,5135,1,0,0,2.127040625,0,0,4
